Vocabulary	Week	Type	Phonetic	Definition	Example	Synonym	Antonym	Vietnamese
descend	5	verb	/dɪˈsend/	to go or move down	The windows can descend toward the ground.	go down	rise	đi xuống, hạ xuống
interior	5	noun	/ɪnˈtɪəriə(r)/	the inside part of something	The interior of the building is very bright.	inside	exterior	nội thất, phần bên trong
inspire	5	verb	/ɪnˈspaɪə(r)/	to give someone the idea for something	Victorian greenhouses inspired the design.	motivate	discourage	truyền cảm hứng
intimate	5	adj	/ˈɪntɪmət/	small and private; having a warm, friendly feeling	It is an intimate and informal space.	cosy		thân mật, ấm cúng
generous	5	adj	/ˈdʒenərəs/	larger or more than usual	The building has generous connections to the outside.	spacious	narrow	rộng rãi, hào phóng
honour	5	verb	/ˈɒnə(r)/	to show great respect or give an award	The judges were happy to honour the architect.	respect	dishonour	tôn vinh, trao giải
predecessor	5	noun	/ˈpriːdɪsesə(r)/	a person who had a job or position before someone else	Their predecessors were happy to honour Foster.		successor	người tiền nhiệm
deter	5	verb	/dɪˈtɜː(r)/	to discourage someone from doing something	They may be deterred from choosing that building.	discourage	encourage	ngăn cản, làm nản lòng
plenty of	6	phrase	/ˈplenti ɒv/	a large amount; more than enough	There is plenty of food for everyone.	a lot of	a lack of	rất nhiều, dư dả
satisfy	6	verb	/ˈsætɪsfaɪ/	to fulfil a need or desire	The meal satisfied his hunger completely.	fulfil	disappoint	thỏa mãn, đáp ứng
examine	6	verb	/ɪɡˈzæmɪn/	to look at something carefully to learn more	The doctor examined the patient thoroughly.	inspect	ignore	kiểm tra, xem xét kỹ
measurement	6	noun	/ˈmeʒəmənt/	the act or result of measuring something	The index uses three measurements to rank countries.	measure		phép đo, kết quả đo
reflect	6	verb	/rɪˈflekt/	to show or be a sign of something	How long people live reflects their health.	show		phản ánh, thể hiện
extensively	6	adv	/ɪkˈstensɪvli/	covering a large area; widely	She travelled extensively in the Middle East.	widely	narrowly	rộng rãi, sâu rộng
corps	6	noun	/kɔː(r)/	a group of people involved in a particular activity	She joined the nurse corps during the war.	unit, group		đội ngũ, binh đoàn
Persian	6	noun	/ˈpɜːʃn/	the language of Iran (also called Farsi)	She became fluent in Persian and Turkish.	Farsi		tiếng Ba Tư
account	6	noun	/əˈkaʊnt/	a written or spoken description of events	She wrote an account of her journey.	report, story		bản tường thuật, mô tả
preserve	6	verb	/prɪˈzɜːv/	to keep something in its original state; prevent decay	Ice was used to preserve food in summer.	conserve	destroy	bảo quản, giữ gìn
inhabitant	6	noun	/ɪnˈhæbɪtənt/	a person or animal that lives in a particular place	The inhabitants of the mountains had unique methods.	resident		cư dân, người sinh sống
conserve	6	verb	/kənˈsɜːv/	to protect something from being wasted or damaged	They found ways of conserving potatoes for later use.	save	waste	bảo tồn, tiết kiệm
consumption	6	noun	/kənˈsʌmpʃn/	the act of eating, drinking, or using something	The potatoes were conserved for later consumption.	use		sự tiêu thụ, tiêu dùng
freeze	6	verb	/friːz/	to become or make something become ice or very cold	They froze the potatoes overnight.		thaw	đóng băng, làm lạnh
trample	6	verb	/ˈtræmpl/	to step heavily on something, crushing it	They trampled the potatoes to squeeze out moisture.	crush		giẫm đạp, nén ép
squeeze	6	verb	/skwiːz/	to press something firmly to remove liquid	They squeezed the moisture out of the potatoes.	press		vắt, ép, bóp
nutritional	6	adj	/njuːˈtrɪʃənl/	relating to the nutrients in food	The process preserved their nutritional value.			thuộc về dinh dưỡng
aesthetic appeal	6	noun phrase	/iːsˈθetɪk əˈpiːl/	the quality of looking attractive	The food kept its nutrition but not its aesthetic appeal.	attractiveness	ugliness	vẻ hấp dẫn, tính thẩm mỹ
remain	6	verb	/rɪˈmeɪn/	to continue to exist or stay the same	Natural ice remained the main form of cooling.	stay	change	vẫn còn, ở lại
refrigeration	6	noun	/rɪˌfrɪdʒəˈreɪʃn/	the process of making something cold to preserve it	Refrigeration changed how food was stored.	cooling	heating	sự làm lạnh, hệ thống lạnh
enormous	6	adj	/ɪˈnɔːməs/	very large in size or amount	They had enormous blocks of ice shipped across the ocean.	huge	tiny	khổng lồ, rất lớn
insulate	6	verb	/ˈɪnsjuleɪt/	to cover something to prevent heat or cold from passing through	The rail cars were insulated to keep food cold.	protect	expose	cách nhiệt, cách ly
mechanical	6	adj	/məˈkænɪkl/	operated by a machine or machinery	They found a way to make mechanical ice.	machine-operated	manual	cơ học, bằng máy móc
liquid	6	noun	/ˈlɪkwɪd/	a substance that flows freely, like water	The gas became liquid and cold in the coil.	fluid	solid	chất lỏng
compartment	6	noun	/kəmˈpɑːtmənt/	a separate section or enclosed space	The cooled air passed into an insulated compartment.	section		ngăn, khoang
deterioration	6	noun	/dɪˌtɪəriəˈreɪʃn/	the process of becoming worse	There was some deterioration in food quality.	decline	improvement	sự xuống cấp, suy giảm
cell	6	noun	/sel/	the smallest unit of a living thing	Crystals formed within the cells of the food.			tế bào
burst	6	verb	/bɜːst/	to break open suddenly	When ice expanded, the cells burst.	explode		vỡ, nổ tung
texture	6	noun	/ˈtekstʃə(r)/	the way something feels when you touch it; the quality of food	Freezing spoilt the flavour and texture of the food.			kết cấu, độ mịn
indigenous	6	adj	/ɪnˈdɪdʒɪnəs/	originating in a particular place; native	The modern frozen food industry began with indigenous Inuit people.	native	foreign	bản địa, bản xứ
fur	6	noun	/fɜː(r)/	the thick hair covering an animal's body	He went to Canada to trap and trade furs.			lông thú
capable of	6	phrase	/ˈkeɪpəbl ɒv/	having the ability or power to do something	He developed freezers capable of quick-freezing food.	able to	incapable of	có khả năng, có thể
division	6	noun	/dɪˈvɪʒn/	a section or department of a larger organization	His division continued to innovate.	department		bộ phận, phòng ban
innovate	6	verb	/ˈɪnəveɪt/	to introduce new ideas, methods, or products	The company continued to innovate in food technology.	create	copy	đổi mới, sáng tạo
damage	6	noun	/ˈdæmɪdʒ/	physical harm that makes something less valuable or useful	Quick-freezing reduced the damage that crystals caused.	harm	repair	thiệt hại, hư hại
cellophane	6	noun	/ˈseləfeɪn/	a thin transparent material used for wrapping food	He introduced cellophane for food packaging.			màng cellophane, màng bọc thực phẩm
obstacle	6	noun	/ˈɒbstəkl/	something that blocks the way or makes progress difficult	There were still obstacles to selling frozen food.	barrier		trở ngại, rào cản
grocery	6	noun	/ˈɡrəʊsəri/	a shop that sells food and household items	Few grocery stores could afford freezers.	food store		cửa hàng tạp hóa, siêu thị nhỏ
lease	6	verb	/liːs/	to rent something for a period of time	Birdseye leased freezer cases to stores.	rent	buy	thuê, cho thuê
munition	6	noun	/mjuːˈnɪʃn/	military weapons and ammunition	Tin was being used for munitions during the war.	weapon		đạn dược, vũ khí
can	6	verb	/kæn/	to preserve food in a sealed container (tin)	Canned foods were rationed during the war.	tin		đóng hộp
ration	6	verb	/ˈræʃn/	to limit the amount of something people can have	Food was rationed to save resources for the war.	limit		phân phối, khẩu phần
abundant	6	adj	/əˈbʌndənt/	existing in large quantities; plentiful	Frozen foods were abundant and cheap.	plentiful	scarce	dồi dào, phong phú
affordable	6	adj	/əˈfɔːdəbl/	cheap enough for most people to buy	By the 1950s, refrigerators became affordable.	cheap	expensive	có thể chi trả, giá phải chăng
poultry	6	noun	/ˈpəʊltri/	birds such as chicken and turkey kept for meat or eggs	Swanson was a large producer of frozen poultry.			gia cầm
clever	6	adj	/ˈklevə(r)/	showing intelligence or skill	With a clever name, they launched the TV Dinner.	smart	stupid	thông minh, khéo léo
advertising	6	noun	/ˈædvətaɪzɪŋ/	the activity of producing advertisements	They had a huge advertising budget.	marketing		quảng cáo
launch	6	verb	/lɔːntʃ/	to introduce a new product to the public	Swanson launched the first TV Dinner in 1954.	release	withdraw	ra mắt, tung ra thị trường
consist of	6	phrase	/kənˈsɪst ɒv/	to be made up of	The dinner consisted of turkey, potatoes and vegetables.	be composed of		bao gồm, cấu thành từ
serve	6	verb	/sɜːv/	to provide food or drink	The meal was served in an aluminum tray.	provide		phục vụ, dọn ra
instant	6	adj	/ˈɪnstənt/	happening immediately	The product was an instant success.	immediate	gradual	ngay lập tức, tức thì
resist	6	verb	/rɪˈzɪst/	to stop yourself from having or doing something	Consumers couldn't resist the convenience.	refuse	give in	cưỡng lại, chống lại
combination	6	noun	/ˌkɒmbɪˈneɪʃn/	a mixture of two or more things	It was a combination of brand name and convenience.	mix		sự kết hợp
annually	6	adv	/ˈænjuəli/	once every year	Americans spent $2.7 billion annually on frozen foods.	yearly		hàng năm
turnover	6	noun	/ˈtɜːnəʊvə(r)/	the total amount of money a business earns in a period	The industry has a turnover of over $67 billion.	revenue		doanh thu
represent	6	verb	/ˌreprɪˈzent/	to be equal to; to account for	That represents a third of total food service sales.	account for		chiếm, đại diện cho
rent	6	verb	/rent/	to pay money to use something for a period of time	I rent a small apartment near the office.	hire	own	thuê (nhà/đồ)
furniture	6	noun	/ˈfɜːnɪtʃə(r)/	tables, chairs, beds, etc. in a room or building	We need to buy new furniture for the living room.	furnishings		đồ nội thất
permanent	6	adj	/ˈpɜːmənənt/	lasting forever or for a very long time	She got a permanent job after the interview.	lasting	temporary	lâu dài, vĩnh viễn
brochure	6	noun	/ˈbrəʊʃə(r)/	a small printed booklet with information or advertising	I picked up a travel brochure at the hotel.	leaflet		tờ rơi, tập sách giới thiệu
insurance	6	noun	/ɪnˈʃʊərəns/	an agreement where a company pays costs if something bad happens	You should buy travel insurance before your trip.	coverage		bảo hiểm
interrupt	6	verb	/ˌɪntəˈrʌpt/	to stop something from continuing for a short time	Please don't interrupt me while I'm speaking.	disturb	continue	ngắt lời, gián đoạn
settlement	6	noun	/ˈsetlmənt/	an official agreement that finishes an argument	Both sides agreed to a $787M settlement.	agreement	conflict	thỏa thuận dàn xếp
defamation	6	noun	/ˌdefəˈmeɪʃn/	the act of damaging the good reputation of someone	She filed a defamation lawsuit against the newspaper.	libel, slander	compliment	sự phỉ báng
claim	6	verb	/kleɪm/	to state that something is true, typically without proof	Dominion claims that the network boosted lies.	allege	deny	cáo buộc, tuyên bố
irreparable	6	adj	/ɪˈrepərəbl/	impossible to rectify or repair	The scandal caused irreparable harm to their brand.	irreversible	repairable	không thể khắc phục
accountability	6	noun	/əˌkaʊntəˈbɪləti/	the fact of being responsible for what you do	The verdict represented accountability for the firm.	responsibility	irresponsibility	trách nhiệm giải trình
resolve	6	verb	/rɪˈzɒlv/	to find a solution to a problem or dispute	They hope to resolve the dispute out of court.	settle	aggravate	giải quyết
amicably	6	adverb	/ˈæmɪkəbli/	in a friendly and peaceable manner	The two parties ended their relationship amicably.	politely	hostilely	một cách hòa giải
acrimony	6	noun	/ˈækrɪməni/	bitterness or ill feeling	The trial was marked by bitter acrimony.	bitterness	goodwill	sự thù địch gay gắt
voluminous	6	adj	/vəˈluːmɪnəs/	very lengthy and detailed	The lawyers submitted voluminous court filings.	massive	tiny	đồ sộ, nhiều
dismiss	6	verb	/dɪsˈmɪs/	to decide that something is not important	He privately dismissed the conspiracy theories.	reject	accept	bác bỏ
erode	6	verb	/ɪˈrəʊd/	to gradually destroy or be gradually destroyed	These actions could erode press freedoms.	undermine	strengthen	xói mòn, suy giảm
allegation	6	noun	/ˌæləˈɡeɪʃn/	a public statement accusing someone of something	He denied all allegations of wrongdoing.	accusation	proof	lời cáo buộc
alienate	6	verb	/ˈeɪliəneɪt/	to make someone feel that they do not belong	The new strategy might alienate their audience.	estrange	attract	làm xa lánh/quay lưng
liability	6	noun	/ˌlaɪəˈbɪləti/	the state of being legally responsible for something	The company admitted liability for the error.	accountability	asset	trách nhiệm pháp lý
fiasco	6	noun	/fiˈæskəʊ/	a thing that is a complete failure	The product launch was a total fiasco.	disaster	success	thảm họa, thất bại
pander	6	verb	/ˈpændər/	to do what someone wants to please them	They were accused of pandering to extremists.	gratify	annoy	chiều chuộng (tiêu cực)
resentment	6	noun	/rɪˈzentmənt/	a feeling of anger about an unfair situation	The policy fueled deep resentments among voters.	bitterness	happiness	sự oán giận
compel	6	verb	/kəmˈpel/	to force someone to do something	I feel compelled to speak the truth.	force	discourage	buộc phải
proposition	7	noun	 /ˌprɒp.əˈzɪʃ.ən/	an offer or suggestion, usually in business:	I've put my proposition to the company director for his consideration.			lời đề nghị
accommodation	7	noun	/əˌkɒməˈdeɪʃən/	a place where someone lives or stays temporarily	The hotel provides comfortable accommodation for tourists.	lodging, housing		chỗ ở
budget	7	noun	/ˈbʌdʒɪt/	an amount of money available to spend	We need to plan our trip on a tight budget.	allowance, funds		ngân sách
crowded	7	adj	/ˈkraʊdɪd/	full of people	The market was so crowded we could barely move.	packed, congested	empty, deserted	đông đúc
discount	7	noun	/ˈdɪskaʊnt/	a reduction in the original price	Students can get a 20% discount on entry.	reduction, deduction	surcharge	giảm giá
vegetarian	7	noun/adj	/ˌvedʒɪˈteəriən/	a person who does not eat meat / relating to a diet without meat	She has been vegetarian for ten years.	vegan	omnivore	người ăn chay / ăn chay
exhibition	7	noun	/ˌeksɪˈbɪʃən/	a public display of art, items, or information	The photography exhibition attracted thousands of visitors.	display, showcase		triển lãm
entry charge	7	noun phrase	/ˈentri tʃɑːdʒ/	a fee paid to enter a place or event	The entry charge for the museum is £10.	admission fee, entrance fee		phí vào cửa
tight budget	7	phrase	/taɪt ˈbʌdʒɪt/	a very limited amount of money available to spend	Travelling on a tight budget means choosing hostels over hotels.	limited funds		ngân sách hạn hẹp
major figure	7	noun phrase	/ˈmeɪdʒə ˈfɪɡə/	an important or highly influential person in a field	Picasso was a major figure in modern art.	key figure, prominent person	minor figure	nhân vật nổi bật
independent	7	adj	/ˌɪndɪˈpendənt/	free from outside control or influence	She built an independent career as a freelance artist.	self-reliant, autonomous	dependent	độc lập
shifting	7	adj	/ˈʃɪftɪŋ/	changing continuously or moving from place to place	The shifting sands made navigation difficult.	changing, moving	stable, fixed	thay đổi, biến động
essential	7	adj	/ɪˈsenʃəl/	absolutely necessary or extremely important	Water is essential for all living things.	necessary, vital	unnecessary, optional	thiết yếu, cốt lõi
abstract	7	adj/noun	/ˈæbstrækt/	existing as an idea rather than a physical thing / non-representational art	His paintings became increasingly abstract in later years.	conceptual, non-representational	concrete, realistic	trừu tượng
finesse	7	noun	/fɪˈnes/	skill and elegance in handling a situation	She played the piano with great finesse.	skill, dexterity, artistry	clumsiness	sự khéo léo, tinh tế
nuance	7	noun	/ˈnjuːɑːns/	a subtle difference in meaning, tone, or expression	The translator failed to capture the nuances of the original text.	subtlety, shade		sắc thái vi tế
enliven	7	verb	/ɪnˈlaɪvən/	to make something more lively or interesting	Bright colours can enliven a dull room.	animate, invigorate	dull, deaden	làm sinh động
avant-garde	7	adj	/ˌævɒ̃ˈɡɑːd/	new and experimental, especially in art or culture	The avant-garde film divided critics and audiences.	experimental, pioneering	conventional, traditional	tiên phong, tiến vệ
promote	7	verb	/prəˈməʊt/	to support, advertise, or encourage something	The campaign was designed to promote local art.	advertise, advocate, advance	suppress, discourage	quảng bá, thúc đẩy
botanical	7	adj	/bəˈtænɪkəl/	relating to plants or the science of botany	The botanical garden displays over 5,000 plant species.	plant-related, floral		thuộc về thực vật học
magnified	7	adj	/ˈmæɡnɪfaɪd/	made to appear larger than actual size	The magnified image revealed hidden details in the texture.	enlarged, amplified	reduced, minimised	được phóng to
innovative	7	adj	/ˈɪnəveɪtɪv/	introducing new ideas, methods, or products	The company is known for its innovative approach to design.	creative, pioneering	conventional, outdated	sáng tạo, đổi mới
modernist	7	noun/adj	/ˈmɒdənɪst/	a person who follows modernism / relating to modernism	The modernist movement rejected traditional artistic forms.	contemporary	traditionalist	nhà hiện đại / theo chủ nghĩa hiện đại
solitude	7	noun	/ˈsɒlɪtjuːd/	the state of being alone, especially in a peaceful way	She enjoyed the solitude of the mountain cabin.	isolation, seclusion	company, sociability	sự cô tịch, tĩnh lặng
rugged terrain	7	noun phrase	/ˈrʌɡɪd təˈreɪn/	rough, uneven, and difficult landscape	The hikers struggled across the rugged terrain.	rough landscape, harsh topography	flat terrain	địa hình gồ ghề, hiểm trở
weathered	7	adj	/ˈweðəd/	worn or changed in appearance by long exposure to weather	The weathered stone walls told stories of centuries past.	eroded, worn	pristine, fresh	phong hóa, bào mòn
jagged	7	adj	/ˈdʒæɡɪd/	having sharp, uneven, pointed edges	The jagged rocks along the coastline made landing dangerous.	sharp, serrated, uneven	smooth, even	sắc nhọn, lởm chởm
convex / concave	7	adj	/ˈkɒnveks/ /ˈkɒnkeɪv/	curving outward like the outside of a sphere / curving inward like a bowl	A convex lens spreads light outward; a concave lens focuses it inward.			lồi / lõm
geological formations	7	noun phrase	/ˌdʒiːəˈlɒdʒɪkəl fɔːˈmeɪʃənz/	natural rock structures shaped by geological processes over time	The canyon's geological formations date back millions of years.	rock structures, landforms		địa tầng địa chất
exotic	7	adj	/ɪɡˈzɒtɪk/	originating from a distant foreign place; strikingly unusual	The market was filled with exotic spices and fabrics.	foreign, unusual, rare	native, ordinary	kỳ lạ, độc đáo
vegetation	7	noun	/ˌvedʒɪˈteɪʃən/	plants covering a particular area	Dense vegetation made it hard to move through the jungle.	flora, plant life	barren land	thảm thực vật
locale	7	noun	/ləʊˈkɑːl/	a particular place, especially in relation to events	The director chose a remote locale for the film shoot.	location, setting, site		địa điểm, nơi chốn
mural	7	noun/adj	/ˈmjʊərəl/	a large painting made directly on a wall / relating to walls	The mural covered the entire side of the building.	wall painting, fresco		tranh tường
motif	7	noun	/məʊˈtiːf/	a recurring element, pattern, or design in art or literature	Floral motifs were common in Art Nouveau design.	pattern, theme, design element		họa tiết, mô-típ
monumental	7	adj	/ˌmɒnjʊˈmentəl/	very large, impressive, or of great importance	The construction of the dam was a monumental achievement.	massive, colossal, grand	tiny, insignificant	đồ sộ, hoành tráng
legacy	7	noun	/ˈleɡəsi/	something passed down from earlier generations or a predecessor	The artist's legacy continues to inspire young painters today.	heritage, inheritance		di sản
derive inspiration from	7	phrase	/dɪˈraɪv ˌɪnspɪˈreɪʃən frɒm/	to draw ideas or creative motivation from a source	Many painters derive inspiration from nature and everyday life.	draw from, be inspired by		lấy cảm hứng từ
stationery	7	noun	/ˈsteɪʃənəri/	writing materials and office supplies such as paper and pens	She bought stationery for the new school year.	office supplies, writing materials		văn phòng phẩm
account number	7	noun phrase	/əˈkaʊnt ˈnʌmbə/	a unique number identifying a specific bank or financial account	Please include your account number when making a transfer.			số tài khoản
envelope	7	noun	/ˈenvələʊp/	a flat paper container used to enclose a letter or document	She sealed the envelope and put it in the postbox.			phong bì
recycled	7	adj	/ˌriːˈsaɪkəld/	made from previously used materials that have been processed again	This notebook is printed on recycled paper.	reclaimed, reused	virgin, new	tái chế
plain	7	adj	/pleɪn/	simple in style, without decoration or pattern	She preferred plain white envelopes for formal letters.	simple, unadorned	decorative, ornate	trơn, không hoa văn
on second thoughts	7	phrase	/ɒn ˈsekənd θɔːts/	used when reconsidering a previous decision or opinion	On second thoughts, I'll take the blue one instead.	on reflection, having reconsidered		nghĩ lại thì...
photocopy paper	7	noun phrase	/ˈfəʊtəkɒpi ˈpeɪpə/	paper designed for use in photocopiers and printers	We ran out of photocopy paper halfway through the print job.	printer paper, copy paper		giấy photo
vanilla	7	adj	/vəˈnɪlə/	plain and lacking originality (informal) / of a cream-white colour	They chose a vanilla design with no special features.	plain, basic, standard	exotic, fancy	màu vani (trắng kem)
